timebin,sid,sequence,use,group
1,8889108,PTsPC,0,LL
2,8889108,PTsPC,0,LL
3,8889108,PTsPC,0,LL
0,8889108,TbPCP,0,LL
1,8889108,TbPCP,0,LL
2,8889108,TbPCP,0,LL
3,8889108,TbPCP,0,LL
0,8889108,TcCPC,1,LL
1,8889108,TcCPC,1,LL
2,8889108,TcCPC,1,LL
3,8889108,TcCPC,0,LL
0,9331415,CPCPCP,0,LL
1,9331415,CPCPCP,0,LL
2,9331415,CPCPCP,0,LL
3,9331415,CPCPCP,0,LL
0,9331415,CPCPCPC,0,LL
1,9331415,CPCPCPC,0,LL
2,9331415,CPCPCPC,0,LL
3,9331415,CPCPCPC,0,LL
0,9331415,CPCTcC,0,LL
1,9331415,CPCTcC,0,LL
2,9331415,CPCTcC,0,LL
3,9331415,CPCTcC,0,LL
0,9331415,CPCTs,0,LL
1,9331415,CPCTs,0,LL
2,9331415,CPCTs,0,LL
3,9331415,CPCTs,0,LL
0,9331415,CPTs,1,LL
1,9331415,CPTs,0,LL
2,9331415,CPTs,0,LL
3,9331415,CPTs,0,LL
0,9331415,CTcCTcP,0,LL
1,9331415,CTcCTcP,0,LL
2,9331415,CTcCTcP,0,LL
3,9331415,CTcCTcP,0,LL
0,9331415,CTsCTs,0,LL
1,9331415,CTsCTs,0,LL
2,9331415,CTsCTs,0,LL
3,9331415,CTsCTs,0,LL
0,9331415,CTsPC,0,LL
1,9331415,CTsPC,0,LL
2,9331415,CTsPC,0,LL
3,9331415,CTsPC,0,LL
0,9331415,PCTbP,0,LL
1,9331415,PCTbP,0,LL
2,9331415,PCTbP,0,LL
3,9331415,PCTbP,0,LL
0,9331415,PTcC,0,LL
1,9331415,PTcC,1,LL
2,9331415,PTcC,0,LL
3,9331415,PTcC,1,LL
0,9331415,PTcCTc,0,LL
1,9331415,PTcCTc,1,LL
2,9331415,PTcCTc,0,LL
3,9331415,PTcCTc,0,LL
0,9331415,PTsP,1,LL
1,9331415,PTsP,1,LL
2,9331415,PTsP,0,LL
3,9331415,PTsP,0,LL
0,9331415,PTsPC,1,LL
1,9331415,PTsPC,1,LL
2,9331415,PTsPC,0,LL
3,9331415,PTsPC,0,LL
0,9331415,TbPCP,0,LL
1,9331415,TbPCP,0,LL
2,9331415,TbPCP,0,LL
3,9331415,TbPCP,0,LL
0,9331415,TcCPC,0,LL
1,9331415,TcCPC,0,LL
2,9331415,TcCPC,0,LL
3,9331415,TcCPC,0,LL
0,10009106,CPCPCP,0,LL
1,10009106,CPCPCP,0,LL
2,10009106,CPCPCP,0,LL
3,10009106,CPCPCP,0,LL
0,10009106,CPCPCPC,0,LL
1,10009106,CPCPCPC,0,LL
2,10009106,CPCPCPC,0,LL
3,10009106,CPCPCPC,0,LL
0,10009106,CPCTcC,0,LL
1,10009106,CPCTcC,0,LL
2,10009106,CPCTcC,0,LL
3,10009106,CPCTcC,0,LL
0,10009106,CPCTs,0,LL
1,10009106,CPCTs,0,LL
2,10009106,CPCTs,0,LL
3,10009106,CPCTs,0,LL
0,10009106,CPTs,0,LL
1,10009106,CPTs,0,LL
2,10009106,CPTs,0,LL
3,10009106,CPTs,0,LL
0,10009106,CTcCTcP,0,LL
1,10009106,CTcCTcP,0,LL
2,10009106,CTcCTcP,0,LL
3,10009106,CTcCTcP,0,LL
0,10009106,CTsCTs,0,LL
1,10009106,CTsCTs,0,LL
2,10009106,CTsCTs,1,LL
3,10009106,CTsCTs,1,LL
0,10009106,CTsPC,0,LL
1,10009106,CTsPC,0,LL
2,10009106,CTsPC,1,LL
3,10009106,CTsPC,1,LL
0,10009106,PCTbP,0,LL
1,10009106,PCTbP,0,LL
2,10009106,PCTbP,0,LL
3,10009106,PCTbP,0,LL
0,10009106,PTcC,0,LL
1,10009106,PTcC,0,LL
2,10009106,PTcC,0,LL
3,10009106,PTcC,0,LL
0,10009106,PTcCTc,0,LL
1,10009106,PTcCTc,0,LL
2,10009106,PTcCTc,0,LL
3,10009106,PTcCTc,0,LL
0,10009106,PTsP,0,LL
1,10009106,PTsP,1,LL
2,10009106,PTsP,1,LL
3,10009106,PTsP,0,LL
0,10009106,PTsPC,0,LL
1,10009106,PTsPC,0,LL
2,10009106,PTsPC,0,LL
3,10009106,PTsPC,0,LL
0,10009106,TbPCP,0,LL
1,10009106,TbPCP,0,LL
2,10009106,TbPCP,0,LL
3,10009106,TbPCP,0,LL
0,10009106,TcCPC,0,LL
1,10009106,TcCPC,0,LL
2,10009106,TcCPC,0,LL
3,10009106,TcCPC,0,LL
0,10942128,CPCPCP,0,LH
1,10942128,CPCPCP,0,LH
2,10942128,CPCPCP,0,LH
3,10942128,CPCPCP,0,LH
0,10942128,CPCPCPC,0,LH
1,10942128,CPCPCPC,0,LH
2,10942128,CPCPCPC,0,LH
3,10942128,CPCPCPC,0,LH
0,10942128,CPCTcC,0,LH
1,10942128,CPCTcC,0,LH
2,10942128,CPCTcC,0,LH
3,10942128,CPCTcC,0,LH
0,10942128,CPCTs,0,LH
1,10942128,CPCTs,0,LH
2,10942128,CPCTs,0,LH
3,10942128,CPCTs,0,LH
0,10942128,CPTs,0,LH
1,10942128,CPTs,0,LH
2,10942128,CPTs,0,LH
3,10942128,CPTs,0,LH
0,10942128,CTcCTcP,0,LH
1,10942128,CTcCTcP,0,LH
2,10942128,CTcCTcP,0,LH
3,10942128,CTcCTcP,0,LH
0,10942128,CTsCTs,0,LH
1,10942128,CTsCTs,0,LH
2,10942128,CTsCTs,0,LH
3,10942128,CTsCTs,0,LH
0,10942128,CTsPC,0,LH
1,10942128,CTsPC,0,LH
2,10942128,CTsPC,0,LH
3,10942128,CTsPC,0,LH
0,10942128,PCTbP,0,LH
1,10942128,PCTbP,0,LH
2,10942128,PCTbP,0,LH
3,10942128,PCTbP,0,LH
0,10942128,PTcC,0,LH
1,10942128,PTcC,0,LH
2,10942128,PTcC,0,LH
3,10942128,PTcC,0,LH
0,10942128,PTcCTc,0,LH
1,10942128,PTcCTc,0,LH
2,10942128,PTcCTc,0,LH
3,10942128,PTcCTc,0,LH
0,10942128,PTsP,0,LH
1,10942128,PTsP,0,LH
2,10942128,PTsP,0,LH
3,10942128,PTsP,0,LH
0,10942128,PTsPC,0,LH
1,10942128,PTsPC,0,LH
2,10942128,PTsPC,0,LH
3,10942128,PTsPC,0,LH
0,10942128,TbPCP,0,LH
1,10942128,TbPCP,0,LH
2,10942128,TbPCP,0,LH
3,10942128,TbPCP,0,LH
0,10942128,TcCPC,1,LH
1,10942128,TcCPC,0,LH
2,10942128,TcCPC,0,LH
3,10942128,TcCPC,0,LH
0,12235124,CPCPCP,0,LL
1,12235124,CPCPCP,0,LL
2,12235124,CPCPCP,0,LL
3,12235124,CPCPCP,0,LL
0,12235124,CPCPCPC,0,LL
1,12235124,CPCPCPC,0,LL
2,12235124,CPCPCPC,0,LL
3,12235124,CPCPCPC,0,LL
0,12235124,CPCTcC,0,LL
1,12235124,CPCTcC,0,LL
2,12235124,CPCTcC,0,LL
3,12235124,CPCTcC,0,LL
0,12235124,CPCTs,0,LL
1,12235124,CPCTs,0,LL
2,12235124,CPCTs,0,LL
3,12235124,CPCTs,0,LL
0,12235124,CPTs,0,LL
1,12235124,CPTs,0,LL
2,12235124,CPTs,0,LL
3,12235124,CPTs,0,LL
0,12235124,CTcCTcP,0,LL
1,12235124,CTcCTcP,0,LL
2,12235124,CTcCTcP,0,LL
3,12235124,CTcCTcP,0,LL
0,12235124,CTsCTs,0,LL
1,12235124,CTsCTs,0,LL
2,12235124,CTsCTs,0,LL
3,12235124,CTsCTs,0,LL
0,12235124,CTsPC,0,LL
1,12235124,CTsPC,0,LL
2,12235124,CTsPC,0,LL
3,12235124,CTsPC,0,LL
0,12235124,PCTbP,0,LL
1,12235124,PCTbP,0,LL
2,12235124,PCTbP,0,LL
3,12235124,PCTbP,0,LL
0,12235124,PTcC,1,LL
1,12235124,PTcC,1,LL
2,12235124,PTcC,0,LL
3,12235124,PTcC,1,LL
0,12235124,PTcCTc,0,LL
1,12235124,PTcCTc,1,LL
2,12235124,PTcCTc,0,LL
3,12235124,PTcCTc,1,LL
0,12235124,PTsP,0,LL
1,12235124,PTsP,0,LL
2,12235124,PTsP,0,LL
3,12235124,PTsP,0,LL
0,12235124,PTsPC,0,LL
1,12235124,PTsPC,0,LL
2,12235124,PTsPC,0,LL
3,12235124,PTsPC,0,LL
0,12235124,TbPCP,0,LL
1,12235124,TbPCP,0,LL
2,12235124,TbPCP,0,LL
3,12235124,TbPCP,0,LL
0,12235124,TcCPC,1,LL
1,12235124,TcCPC,1,LL
2,12235124,TcCPC,0,LL
3,12235124,TcCPC,1,LL
0,12949120,CPCPCP,0,LH
1,12949120,CPCPCP,0,LH
2,12949120,CPCPCP,0,LH
3,12949120,CPCPCP,0,LH
0,12949120,CPCPCPC,0,LH
1,12949120,CPCPCPC,0,LH
2,12949120,CPCPCPC,0,LH
3,12949120,CPCPCPC,0,LH
0,12949120,CPCTcC,0,LH
1,12949120,CPCTcC,0,LH
2,12949120,CPCTcC,0,LH
3,12949120,CPCTcC,0,LH
0,12949120,CPCTs,0,LH
1,12949120,CPCTs,0,LH
2,12949120,CPCTs,0,LH
3,12949120,CPCTs,0,LH
0,12949120,CPTs,0,LH
1,12949120,CPTs,0,LH
2,12949120,CPTs,0,LH
3,12949120,CPTs,0,LH
0,12949120,CTcCTcP,0,LH
1,12949120,CTcCTcP,0,LH
2,12949120,CTcCTcP,0,LH
