timebin,sid,sequence,use,group
3,8775127,PCTsP,0,LH
0,8775127,PTb,1,LH
1,8775127,PTb,0,LH
2,8775127,PTb,0,LH
3,8775127,PTb,0,LH
0,8775127,PTsPC,0,LH
1,8775127,PTsPC,0,LH
2,8775127,PTsPC,0,LH
3,8775127,PTsPC,0,LH
0,8775127,TbCP,0,LH
1,8775127,TbCP,0,LH
2,8775127,TbCP,0,LH
3,8775127,TbCP,0,LH
0,8775127,TbP,0,LH
1,8775127,TbP,0,LH
2,8775127,TbP,1,LH
3,8775127,TbP,0,LH
0,8775127,TbPC,0,LH
1,8775127,TbPC,0,LH
2,8775127,TbPC,1,LH
3,8775127,TbPC,0,LH
0,8775127,TbPCP,0,LH
1,8775127,TbPCP,0,LH
2,8775127,TbPCP,0,LH
3,8775127,TbPCP,0,LH
0,8889108,CPCTs,0,LL
1,8889108,CPCTs,0,LL
2,8889108,CPCTs,0,LL
3,8889108,CPCTs,0,LL
0,8889108,CPTs,0,LL
1,8889108,CPTs,0,LL
2,8889108,CPTs,0,LL
3,8889108,CPTs,0,LL
0,8889108,CTbC,0,LL
1,8889108,CTbC,0,LL
2,8889108,CTbC,0,LL
3,8889108,CTbC,0,LL
0,8889108,CTbP,0,LL
1,8889108,CTbP,0,LL
2,8889108,CTbP,0,LL
3,8889108,CTbP,0,LL
0,8889108,CTbPC,0,LL
1,8889108,CTbPC,0,LL
2,8889108,CTbPC,0,LL
3,8889108,CTbPC,0,LL
0,8889108,CTcPTcP,0,LL
1,8889108,CTcPTcP,0,LL
2,8889108,CTcPTcP,0,LL
3,8889108,CTcPTcP,0,LL
0,8889108,CTsCTs,0,LL
1,8889108,CTsCTs,0,LL
2,8889108,CTsCTs,0,LL
3,8889108,CTsCTs,0,LL
0,8889108,PCTbP,0,LL
1,8889108,PCTbP,0,LL
2,8889108,PCTbP,0,LL
3,8889108,PCTbP,0,LL
0,8889108,PCTsP,0,LL
1,8889108,PCTsP,0,LL
2,8889108,PCTsP,0,LL
3,8889108,PCTsP,0,LL
0,8889108,PTb,0,LL
1,8889108,PTb,0,LL
2,8889108,PTb,0,LL
3,8889108,PTb,0,LL
0,8889108,PTsPC,0,LL
1,8889108,PTsPC,0,LL
2,8889108,PTsPC,0,LL
3,8889108,PTsPC,0,LL
0,8889108,TbCP,0,LL
1,8889108,TbCP,0,LL
2,8889108,TbCP,0,LL
3,8889108,TbCP,0,LL
0,8889108,TbP,0,LL
1,8889108,TbP,0,LL
2,8889108,TbP,0,LL
3,8889108,TbP,0,LL
0,8889108,TbPC,0,LL
1,8889108,TbPC,0,LL
2,8889108,TbPC,0,LL
3,8889108,TbPC,0,LL
0,8889108,TbPCP,0,LL
1,8889108,TbPCP,0,LL
2,8889108,TbPCP,0,LL
3,8889108,TbPCP,0,LL
0,9331415,CPCTs,0,LL
1,9331415,CPCTs,0,LL
2,9331415,CPCTs,0,LL
3,9331415,CPCTs,0,LL
0,9331415,CPTs,1,LL
1,9331415,CPTs,0,LL
2,9331415,CPTs,0,LL
3,9331415,CPTs,0,LL
0,9331415,CTbC,0,LL
1,9331415,CTbC,0,LL
2,9331415,CTbC,0,LL
3,9331415,CTbC,0,LL
0,9331415,CTbP,0,LL
1,9331415,CTbP,0,LL
2,9331415,CTbP,0,LL
3,9331415,CTbP,0,LL
0,9331415,CTbPC,0,LL
1,9331415,CTbPC,0,LL
2,9331415,CTbPC,0,LL
3,9331415,CTbPC,0,LL
0,9331415,CTcPTcP,0,LL
1,9331415,CTcPTcP,0,LL
2,9331415,CTcPTcP,0,LL
3,9331415,CTcPTcP,0,LL
0,9331415,CTsCTs,0,LL
1,9331415,CTsCTs,0,LL
2,9331415,CTsCTs,0,LL
3,9331415,CTsCTs,0,LL
0,9331415,PCTbP,0,LL
1,9331415,PCTbP,0,LL
2,9331415,PCTbP,0,LL
3,9331415,PCTbP,0,LL
0,9331415,PCTsP,0,LL
1,9331415,PCTsP,1,LL
2,9331415,PCTsP,0,LL
3,9331415,PCTsP,0,LL
0,9331415,PTb,0,LL
1,9331415,PTb,0,LL
2,9331415,PTb,0,LL
3,9331415,PTb,0,LL
0,9331415,PTsPC,1,LL
1,9331415,PTsPC,1,LL
2,9331415,PTsPC,0,LL
3,9331415,PTsPC,0,LL
0,9331415,TbCP,0,LL
1,9331415,TbCP,0,LL
2,9331415,TbCP,0,LL
3,9331415,TbCP,0,LL
0,9331415,TbP,0,LL
1,9331415,TbP,0,LL
2,9331415,TbP,0,LL
3,9331415,TbP,0,LL
0,9331415,TbPC,0,LL
1,9331415,TbPC,0,LL
2,9331415,TbPC,0,LL
3,9331415,TbPC,0,LL
0,9331415,TbPCP,0,LL
1,9331415,TbPCP,0,LL
2,9331415,TbPCP,0,LL
3,9331415,TbPCP,0,LL
0,10009106,CPCTs,0,LL
1,10009106,CPCTs,0,LL
2,10009106,CPCTs,0,LL
3,10009106,CPCTs,0,LL
0,10009106,CPTs,0,LL
1,10009106,CPTs,0,LL
2,10009106,CPTs,0,LL
3,10009106,CPTs,0,LL
0,10009106,CTbC,0,LL
1,10009106,CTbC,1,LL
2,10009106,CTbC,0,LL
3,10009106,CTbC,0,LL
0,10009106,CTbP,1,LL
1,10009106,CTbP,1,LL
2,10009106,CTbP,0,LL
3,10009106,CTbP,0,LL
0,10009106,CTbPC,0,LL
1,10009106,CTbPC,0,LL
2,10009106,CTbPC,0,LL
3,10009106,CTbPC,0,LL
0,10009106,CTcPTcP,0,LL
1,10009106,CTcPTcP,0,LL
2,10009106,CTcPTcP,0,LL
3,10009106,CTcPTcP,0,LL
0,10009106,CTsCTs,0,LL
1,10009106,CTsCTs,0,LL
2,10009106,CTsCTs,1,LL
3,10009106,CTsCTs,1,LL
0,10009106,PCTbP,0,LL
1,10009106,PCTbP,0,LL
2,10009106,PCTbP,0,LL
3,10009106,PCTbP,0,LL
0,10009106,PCTsP,0,LL
1,10009106,PCTsP,0,LL
2,10009106,PCTsP,0,LL
3,10009106,PCTsP,0,LL
0,10009106,PTb,0,LL
1,10009106,PTb,1,LL
2,10009106,PTb,0,LL
3,10009106,PTb,0,LL
0,10009106,PTsPC,0,LL
1,10009106,PTsPC,0,LL
2,10009106,PTsPC,0,LL
3,10009106,PTsPC,0,LL
0,10009106,TbCP,0,LL
1,10009106,TbCP,0,LL
2,10009106,TbCP,0,LL
3,10009106,TbCP,0,LL
0,10009106,TbP,0,LL
1,10009106,TbP,1,LL
2,10009106,TbP,0,LL
3,10009106,TbP,0,LL
0,10009106,TbPC,0,LL
1,10009106,TbPC,0,LL
2,10009106,TbPC,0,LL
3,10009106,TbPC,0,LL
0,10009106,TbPCP,0,LL
1,10009106,TbPCP,0,LL
2,10009106,TbPCP,0,LL
3,10009106,TbPCP,0,LL
0,10942128,CPCTs,0,LH
1,10942128,CPCTs,0,LH
2,10942128,CPCTs,0,LH
3,10942128,CPCTs,0,LH
0,10942128,CPTs,0,LH
1,10942128,CPTs,0,LH
2,10942128,CPTs,0,LH
3,10942128,CPTs,0,LH
0,10942128,CTbC,0,LH
1,10942128,CTbC,0,LH
2,10942128,CTbC,0,LH
3,10942128,CTbC,0,LH
0,10942128,CTbP,0,LH
1,10942128,CTbP,0,LH
2,10942128,CTbP,0,LH
3,10942128,CTbP,0,LH
0,10942128,CTbPC,0,LH
1,10942128,CTbPC,0,LH
2,10942128,CTbPC,0,LH
3,10942128,CTbPC,0,LH
0,10942128,CTcPTcP,0,LH
1,10942128,CTcPTcP,0,LH
2,10942128,CTcPTcP,0,LH
3,10942128,CTcPTcP,0,LH
0,10942128,CTsCTs,0,LH
1,10942128,CTsCTs,0,LH
2,10942128,CTsCTs,0,LH
3,10942128,CTsCTs,0,LH
0,10942128,PCTbP,0,LH
1,10942128,PCTbP,0,LH
2,10942128,PCTbP,0,LH
3,10942128,PCTbP,0,LH
0,10942128,PCTsP,0,LH
1,10942128,PCTsP,0,LH
2,10942128,PCTsP,0,LH
3,10942128,PCTsP,0,LH
0,10942128,PTb,0,LH
1,10942128,PTb,0,LH
2,10942128,PTb,0,LH
3,10942128,PTb,0,LH
0,10942128,PTsPC,0,LH
1,10942128,PTsPC,0,LH
2,10942128,PTsPC,0,LH
3,10942128,PTsPC,0,LH
0,10942128,TbCP,0,LH
1,10942128,TbCP,0,LH
2,10942128,TbCP,0,LH
3,10942128,TbCP,0,LH
0,10942128,TbP,0,LH
1,10942128,TbP,0,LH
2,10942128,TbP,0,LH
3,10942128,TbP,0,LH
0,10942128,TbPC,0,LH
1,10942128,TbPC,0,LH
2,10942128,TbPC,0,LH
3,10942128,TbPC,0,LH
0,10942128,TbPCP,0,LH
1,10942128,TbPCP,0,LH
2,10942128,TbPCP,0,LH
3,10942128,TbPCP,0,LH
0,12235124,CPCTs,0,LL
1,12235124,CPCTs,0,LL
2,12235124,CPCTs,0,LL
3,12235124,CPCTs,0,LL
0,12235124,CPTs,0,LL
1,12235124,CPTs,0,LL
2,12235124,CPTs,0,LL
3,12235124,CPTs,0,LL
0,12235124,CTbC,0,LL
