studentID	condition	subject	video	cumulative watched	fraction watched	fraction rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
165626acbc327ae0ef.xml	1	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	2_DigitalReadAndWrite.mp4	485	1.0	0.636	None	4	1	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
165626acbc327ae0ef.xml	1	CS	6_AnalogRead.mp4	98	0.275	0.0	None	3	1	0	0	0	0	0	0	0
1678-E3-B5-57-3C-0A.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1031	0.832	0.097	None	148	37	2	0	0	0	0	0	0
1678-E3-B5-57-3C-0A.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	1858	0.943	0.058	None	56	16	2	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	5_PausingProgramsWithSleep1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	3_SevenSegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	1_IntroductionToDAQProgramming.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	2_DigitalReadAndWrite.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	4_Programming7SegmentDisplays.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
169540d8a25e93d34e.xml	2	CS	6_AnalogRead.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	5_PausingProgramsWithSleep1.mp4	479	1.0	0.303	None	1	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	3_SevenSegmentDisplays.mp4	386	1.0	0.0	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	281	1.0	0.0	None	1	0	3	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	1_IntroductionToDAQProgramming.mp4	501	1.0	0.127	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	2_DigitalReadAndWrite.mp4	392	1.0	0.13	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	4_Programming7SegmentDisplays.mp4	269	1.0	0.426	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	7_DAQReview.mp4	581	1.0	0.297	None	0	0	0	0	0	0	0	0	0
1l2,18,133c07546c6cfc.xml	2	CS	6_AnalogRead.mp4	446	1.0	0.448	None	0	0	0	0	0	0	0	0	0
